first_name,last_name,email,gender,date_of_birth,location,favorite_color
Kristopher,Ferencowicz,kferencowicz0@oakley.com,Male,8/21/79,Japan,Fuscia
Bill,Speke,bspeke1@1und1.de,Male,11/19/86,Indonesia,Pink
Marietta,Pattinson,mpattinson2@marriott.com,Female,2/13/64,China,Pink
Aloin,Pulbrook,apulbrook3@weather.com,Male,3/20/02,China,Teal
Jennine,Scallan,jscallan4@mail.ru,Female,9/16/91,Morocco,Violet
Chrisse,Ailmer,cailmer5@soup.io,Male,12/6/81,Bosnia and Herzegovina,Turquoise
Jeni,Freestone,jfreestone6@nhs.uk,Male,10/21/93,China,Aquamarine
Austina,Huncote,ahuncote7@telegraph.co.uk,Female,2/16/74,Russia,Maroon
Luci,Bromwich,lbromwich8@shinystat.com,Female,3/1/03,United States,Goldenrod
Sheffie,Zoppie,szoppie9@gmpg.org,Male,2/11/95,Greece,Puce
Tabby,Mayzes,tmayzesa@moonfruit.com,Male,11/24/77,Afghanistan,Teal
Hally,Trawin,htrawinb@example.com,Female,8/14/05,United States,Blue
Hinze,Duester,hduesterc@topsy.com,Male,7/16/64,Finland,Crimson
Juliette,Benet,jbenetd@altervista.org,Female,2/20/80,Turkmenistan,Green
Erastus,Yitzhak,eyitzhake@cdbaby.com,Male,6/3/07,Argentina,Blue
Gibb,Staneland,gstanelandf@disqus.com,Male,5/9/02,Indonesia,Red
Gus,Bullman,gbullmang@sakura.ne.jp,Female,1/19/06,Switzerland,Purple
Cathrin,Argente,cargenteh@uiuc.edu,Female,8/6/78,Cuba,Yellow
Ron,Brozsset,rbrozsseti@elpais.com,Male,11/16/03,Indonesia,Indigo
Sukey,Giberd,sgiberdj@livejournal.com,Female,9/11/86,Russia,Crimson
Hanni,Jorioz,hjoriozk@cornell.edu,Female,9/2/99,Vietnam,Orange
Keelia,Gergus,kgergusl@unicef.org,Female,11/9/04,Thailand,Fuscia
Donnie,Lemerie,dlemeriem@comcast.net,Female,6/3/62,Poland,Fuscia
Tobe,Lakenton,tlakentonn@dmoz.org,Male,3/2/84,Netherlands,Puce
Desiree,Mulles,dmulleso@about.com,Female,9/10/78,Egypt,Khaki
Jere,Collier,jcollierp@wikispaces.com,Male,2/1/06,Honduras,Aquamarine
Roch,Phalp,rphalpq@studiopress.com,Female,1/10/63,Syria,Violet
Vale,Bottlestone,vbottlestoner@homestead.com,Female,3/29/78,Philippines,Puce
Horton,Kraft,hkrafts@123-reg.co.uk,Male,10/18/01,Brazil,Maroon
Gunther,Windley,gwindleyt@csmonitor.com,Male,7/29/86,Serbia,Yellow
Lynn,Prowse,lprowseu@nydailynews.com,Female,11/29/08,Russia,Green
Sawyere,Dizlie,sdizliev@livejournal.com,Male,8/8/60,Portugal,Goldenrod
Gwyn,MacCarter,gmaccarterw@weebly.com,Female,3/14/06,United States,Mauv
Udell,Bruff,ubruffx@diigo.com,Male,3/23/80,Armenia,Green
Pauly,Hatherley,phatherleyy@un.org,Male,6/9/85,Poland,Violet
Erich,Peller,epellerz@amazon.co.jp,Male,8/23/82,Sweden,Purple
Fidole,Syphas,fsyphas10@fastcompany.com,Male,7/2/79,China,Turquoise
Had,Manuele,hmanuele11@google.pl,Male,1/1/68,Russia,Aquamarine
Franciskus,McPherson,fmcpherson12@vistaprint.com,Male,5/12/74,China,Mauv
Annie,Ferrino,aferrino13@free.fr,Female,6/9/78,Cameroon,Violet
Teador,Salling,tsalling14@google.de,Male,11/25/82,Thailand,Crimson
Davie,Topping,dtopping15@sitemeter.com,Male,11/27/00,Afghanistan,Indigo
Nancy,Gurnay,ngurnay16@mtv.com,Female,8/13/82,Brazil,Puce
Keefer,Askew,kaskew17@salon.com,Male,8/2/93,Indonesia,Fuscia
Morena,Newgrosh,mnewgrosh18@uol.com.br,Female,11/30/90,Japan,Mauv
Miguela,Baselli,mbaselli19@geocities.jp,Female,10/17/95,Brazil,Goldenrod
Gaye,Putman,gputman1a@usatoday.com,Male,3/28/82,Costa Rica,Yellow
Alysa,Pennigar,apennigar1b@networkadvertising.org,Female,12/7/80,China,Puce
Homere,Andri,handri1c@ucoz.com,Male,6/4/71,Honduras,Red
Gena,Rugieri,grugieri1d@indiatimes.com,Female,5/2/82,Portugal,Indigo
