first_name,last_name,age,gender,color,item_name,favorite_color,location,ispurchased,time_spent_looking,price
Wain,Bellocht,18,Genderfluid,Yellow,nike_zoom_rival_xc_6_pink,Goldenrod,Poland,true,3,$795.18
Titus,Caudwell,26,Male,Mauv,nike_vapor_shark_3_purple,Green,United States,true,1,$425.70
Trenton,Rogger,24,Male,Crimson,nike_mercurial_superfly_10_elite_blue,Violet,Russia,false,5,$739.60
Delilah,Jugging,23,Female,Turquoise,nike_zoom_rival_xc_6_aqua,Pink,China,false,8,$974.25
Margalit,MacKnockiter,20,Female,Aquamarine,nike_maxfly_2_yellow,Red,Philippines,false,9,$695.48
Linet,Pinnington,21,Female,Green,air_jordan_1_retro_high_og_gray,Maroon,Panama,true,1,$361.85
Dur,Beccera,29,Genderqueer,Turquoise,nike_long_jump_elite_white,Fuscia,Argentina,false,2,$727.78
Alec,MacCallion,18,Male,Blue,nike_zoom_rotational_6_yellow,Khaki,China,false,7,$206.16
Lorene,Hawkslee,19,Agender,Purple,air_jordan_1_retro_high_og_gray,Yellow,Portugal,true,10,$687.33
Gerard,Ughelli,30,Genderqueer,Indigo,nike_vapor_edge_360_black,Fuscia,Guatemala,true,4,$51.78
Florian,Sonley,21,Male,Violet,nike_alphafly_3_navy,Purple,Thailand,true,10,$505.47
Herschel,Bradder,19,Genderqueer,Pink,air_jordan_4_retro_red,Aquamarine,Portugal,false,2,$200.81
Rhys,Espadater,24,Male,Mauv,air_jordan_4_retro_brown,Violet,China,true,4,$442.67
Claudetta,Rustman,28,Female,Goldenrod,nike_phantom_6_low_elite_red,Mauv,China,true,2,$839.58
Ker,Rasell,22,Male,Crimson,nike_zoom_rival_xc_6_pink,Khaki,Afghanistan,false,2,$579.81
Darci,Nolin,18,Female,Purple,nike_acg_ultrafly_trail_orange,Indigo,China,true,6,$43.67
Andrey,Beccles,26,Male,Maroon,nike_vomero_plus_pink,Turquoise,Indonesia,false,9,$880.03
Codie,McCerery,19,Male,Orange,nike_mercurial_superfly_10_elite_blue,Violet,China,false,3,$999.26
Cesya,Grewer,29,Genderfluid,Yellow,nike_maxfly_2_yellow,Blue,Sweden,false,1,$367.79
Sissy,Madine,24,Female,Goldenrod,air_jordan_4_retro_brown,Khaki,Japan,false,5,$659.76
Neill,Blitzer,20,Male,Pink,nike_mercurial_superfly_10_elite_blue,Violet,Belgium,false,1,$658.58
Alphonso,Twitchett,21,Male,Goldenrod,air_jordan_4_retro_brown,Orange,Portugal,false,9,$986.72
Isaak,Terne,24,Male,Aquamarine,air_jordan_4_retro_red,Violet,Tunisia,false,10,$79.55
Shawna,Raund,18,Female,Goldenrod,air_jordan_4_retro_red,Aquamarine,China,true,9,$181.16
Olympia,Barnewall,28,Female,Pink,nike_alphafly_3_orange,Goldenrod,Indonesia,true,4,$112.26
Emmett,McTurley,22,Male,Fuscia,nike_alpha_menace_4_varsity_blue,Mauv,Brazil,true,3,$312.86
Baldwin,Altamirano,21,Male,Purple,nike_maxfly_2_yellow,Crimson,China,true,5,$218.23
Valentina,Gantzer,30,Female,Indigo,nike_mercurial_superfly_10_elite_blue,Maroon,Peru,true,8,$582.29
Trixie,Galland,18,Female,Blue,nike_phantom_6_low_elite_red,Aquamarine,Albania,true,10,$340.49
Chastity,Picken,28,Female,Red,air_jordan_1_retro_high_og_gray,Goldenrod,Nicaragua,true,9,$845.92
