first_name,last_name,age,gender,color,location,price
Drucie,Yearn,69,Female,Puce,Ukraine,$791.23 
Kienan,McCarlich,65,Male,Puce,Russia,$357.34 
Fowler,Lantiff,65,Male,Indigo,Argentina,$730.41 
Leticia,Feavearyear,66,Female,Red,Indonesia,$832.75 
Blake,Cathie,70,Male,Fuscia,Denmark,$727.57 
Vonni,Father,66,Female,Purple,Vietnam,$851.94 
Basilio,Petrus,68,Male,Crimson,Sweden,$625.12 
Alexandro,Kennifick,63,Male,Pink,China,$105.26 
Blaine,Mullett,67,Male,Purple,China,$9.16 
Reyna,Wrangle,70,Female,Blue,Bangladesh,$799.17 
Belicia,Bailie,60,Female,Crimson,Portugal,$581.40 
Tamiko,Macartney,64,Female,Orange,Iran,$251.02 
Brant,Van Niekerk,61,Male,Goldenrod,China,$936.50 
Brnaba,Myrtle,60,Male,Aquamarine,United States,$753.48 
Glendon,Burnup,60,Male,Puce,Burkina Faso,$372.82 
Weber,Titterington,70,Male,Maroon,Poland,$56.05 
Chandler,Bracher,60,Male,Purple,Sweden,$759.76 
Cristie,Liptrot,66,Female,Orange,United States,$640.49 
Oralle,Filshin,70,Female,Orange,Thailand,$74.93 
Zedekiah,Kleinhausen,64,Male,Purple,Portugal,$445.53 
Yehudi,Labat,70,Male,Teal,Brazil,$420.16 
Nerissa,Tomas,67,Female,Green,Czech Republic,$226.49 
Callean,McElroy,66,Male,Mauv,Indonesia,$759.50 
Heida,Kobpa,69,Female,Blue,China,$815.62 
Jillian,Jursch,64,Female,Orange,Nepal,$449.36 
Clemente,Morales,67,Male,Turquoise,Indonesia,$233.53 
Vaclav,Daoust,69,Bigender,Yellow,China,$949.57 
Anjanette,Bootes,63,Female,Fuscia,Greece,$913.88 
Chandler,O'Downe,63,Male,Orange,Netherlands,$296.50 
Cherey,Karlowicz,60,Female,Pink,Philippines,$526.49 
Adelaide,Anderl,62,Female,Blue,Portugal,$940.65 
Queenie,Dohmann,60,Female,Teal,Russia,$854.15 
Barbi,Lindblom,63,Bigender,Aquamarine,Armenia,$621.88 
Oates,Bjorkan,64,Male,Turquoise,Sweden,$587.97 
Alair,Cotman,64,Male,Indigo,Philippines,$111.02 
Georgetta,Knuckles,69,Female,Fuscia,Philippines,$998.21 
Douglass,Sibthorp,60,Male,Aquamarine,Iran,$217.51 
Kin,Dewdeny,69,Male,Indigo,China,$234.51 
Chandra,Alliker,68,Female,Crimson,Philippines,$831.13 
Drugi,Barrable,62,Male,Violet,Argentina,$961.19 
Alphonso,Hurdwell,68,Male,Goldenrod,Portugal,$174.35 
Yance,Bispham,70,Male,Purple,Greece,$150.10 
Randi,Greatland,61,Genderqueer,Orange,Tanzania,$632.38 
Trude,Ganniclifft,60,Genderqueer,Aquamarine,Czech Republic,$956.76 
Deirdre,Probbings,68,Female,Blue,Vietnam,$612.16 
Tabitha,Barthropp,64,Agender,Teal,Albania,$703.57 
Averyl,Gres,66,Bigender,Crimson,Cameroon,$283.84 
Ailis,Beech,64,Female,Turquoise,China,$154.80 
Becca,Govenlock,66,Female,Fuscia,Sweden,$421.50 
Craggie,Greenman,67,Male,Blue,Ireland,$430.78 
Eziechiele,Colegate,60,Genderfluid,Khaki,Indonesia,$506.54 
Kristoforo,Pickup,69,Male,Turquoise,China,$921.67 
Sumner,Vane,70,Male,Aquamarine,Indonesia,$597.97 
Calida,Treves,66,Female,Goldenrod,Turkmenistan,$106.70 
Mack,Baillie,69,Male,Goldenrod,Vietnam,$85.07 
Ibbie,Keller,62,Female,Blue,Russia,$328.83 
Allin,Randerson,63,Male,Purple,France,$16.18 
Salmon,Critcher,62,Agender,Goldenrod,Colombia,$487.55 
Gaston,Bugden,63,Male,Crimson,Panama,$184.21 
Chicky,McCardle,70,Male,Blue,Indonesia,$753.59 
Nickolaus,Mathers,62,Male,Yellow,Colombia,$519.24 
Carleton,Ducket,65,Male,Purple,Spain,$779.97 
Karrah,Daintrey,67,Female,Indigo,Vietnam,$354.61 
Jacquetta,Staniford,68,Female,Crimson,Russia,$21.42 
Sacha,Bramble,69,Female,Violet,Peru,$421.73 
Catherin,Whellams,60,Genderqueer,Yellow,Russia,$165.57 
Laurena,Dows,67,Female,Red,Japan,$11.75 
Zia,Bartosinski,66,Female,Purple,Sweden,$64.69 
Berrie,Stallworthy,68,Female,Green,Japan,$614.66 
Giffer,Ashcroft,61,Male,Mauv,Poland,$526.15 
Payton,Mayston,66,Male,Teal,Portugal,$730.95 
Susy,Gorthy,63,Female,Violet,United States,$527.21 
Ruggiero,Ogelbe,61,Male,Crimson,Indonesia,$852.62 
Ravi,Gentile,66,Male,Red,Luxembourg,$819.78 
Ronnica,Braybrook,66,Female,Violet,Russia,$491.89 
Artair,Mullett,68,Male,Teal,United States,$413.59 
Dalt,Dunlop,68,Male,Puce,Indonesia,$515.27 
Budd,Strawbridge,69,Male,Puce,China,$242.86 
Isaak,Bellhouse,63,Male,Khaki,Albania,$576.31 
Wilow,Whorf,68,Female,Aquamarine,China,$593.46 
Petey,Penhalurick,64,Polygender,Pink,China,$844.55 
Clemmie,Urling,64,Male,Aquamarine,Sudan,$561.32 
Ferrel,Pococke,61,Non-binary,Red,Liechtenstein,$150.17 
Darrin,Creigan,67,Male,Khaki,China,$725.05 
Shellysheldon,Dougan,68,Male,Orange,Moldova,$855.00 
Merrily,Calafato,65,Female,Aquamarine,Russia,$138.80 
Lay,Dyer,70,Male,Indigo,Ukraine,$408.88 
Aryn,Isaac,61,Female,Green,China,$22.47 
Guglielmo,Borless,62,Male,Puce,Ukraine,$750.99 
Saunderson,Chang,60,Male,Pink,Czech Republic,$124.22 
Hildagard,Delcastel,61,Female,Aquamarine,China,$936.64 
Marty,Frearson,63,Male,Turquoise,Indonesia,$934.46 
Prentiss,Nancarrow,70,Male,Turquoise,Poland,$87.00 
Anestassia,Wickendon,60,Female,Red,Ukraine,$963.83 
Reece,Chue,64,Agender,Violet,Slovenia,$445.06 
Janka,Tester,60,Female,Turquoise,China,$313.82 
Lezlie,Plenderleith,63,Female,Blue,Egypt,$147.72 
Dylan,McFee,61,Male,Red,China,$670.69 
Onfroi,Spurden,69,Male,Purple,Japan,$615.35 
Ewell,O'Mahoney,66,Genderfluid,Red,Philippines,$923.77 
Ronna,Draycott,69,Female,Blue,Philippines,$212.86 
Rock,Ionesco,68,Male,Pink,South Africa,$913.45 
Boigie,Raggitt,70,Male,Green,France,$477.16 
Ange,Pitts,61,Female,Mauv,Poland,$376.46 
Lura,Wallman,65,Female,Aquamarine,Indonesia,$340.43 
Clevey,Bithany,62,Bigender,Pink,Tanzania,$365.12 
Philbert,Oglethorpe,60,Genderqueer,Pink,Sweden,$318.63 
Marci,Jewar,64,Female,Mauv,Kenya,$517.62 
Nancy,Wallas,68,Female,Indigo,Brazil,$167.23 
Lethia,Crossthwaite,66,Female,Crimson,Thailand,$456.40 
Chickie,McLernon,65,Female,Green,Philippines,$6.88 
Caldwell,Snary,61,Male,Purple,Brazil,$155.89 
Everett,Hulbert,63,Male,Orange,China,$754.86 
Gavin,Greening,62,Male,Fuscia,Indonesia,$597.32 
Hew,Gott,67,Male,Red,Indonesia,$499.84 
Addy,Ciciari,66,Female,Orange,South Africa,$368.02 
Bobbe,Akram,60,Female,Teal,China,$796.23 
Zacharias,Balcombe,70,Male,Red,North Korea,$655.85 
Erv,Bourton,69,Male,Pink,Cuba,$510.52 
Pip,Josefovic,70,Male,Violet,Indonesia,$554.92 
Orly,Killik,60,Female,Teal,Argentina,$19.63 
Margette,Hukins,70,Female,Purple,Botswana,$569.68 
Harcourt,Bukowski,64,Male,Yellow,Indonesia,$294.27 
Harald,Davall,62,Male,Purple,Comoros,$780.44 
Ernestus,Bothen,70,Male,Maroon,Spain,$189.90 
Rebbecca,Blague,60,Female,Khaki,Thailand,$247.05 
Alysia,Lathwell,67,Female,Puce,United States,$156.82 
Cristie,Penberthy,70,Female,Mauv,Brazil,$273.59 
Cherrita,Langsdon,65,Female,Green,Czech Republic,$707.52 
Kari,Thomann,63,Female,Pink,Philippines,$893.97 
Lonny,Housecraft,70,Male,Khaki,Albania,$924.89 
Hilliard,Rubinshtein,64,Male,Indigo,Philippines,$860.47 
Clovis,Rhydderch,66,Female,Puce,Poland,$679.85 
Fancy,Gunton,66,Female,Green,China,$540.80 
Emilee,Livsey,62,Female,Khaki,United States,$942.86 
Gran,Gaiger,69,Male,Khaki,United States,$906.90 
Ingaberg,Alexsandrovich,60,Female,Goldenrod,Argentina,$558.54 
Zarla,Angless,67,Female,Maroon,Venezuela,$768.63 
Thoma,Myles,60,Male,Violet,Brazil,$717.34 
Blinnie,Matschuk,69,Female,Yellow,China,$566.14 
Rosabella,Tchaikovsky,67,Female,Puce,Portugal,$922.90 
Trey,Austing,60,Male,Green,Russia,$758.48 
Tandy,Huban,63,Female,Orange,France,$810.92 
Melba,Fairs,63,Female,Goldenrod,Guatemala,$583.43 
