first_name,last_name,age,gender,color,item_name,favorite_color,location,ispurchased,time_spent_looking,price
Maye,Sandbach,53,Female,Purple,crocs_classic_clogs_white,Turquoise,China,true,7,$193.86
Trudy,Lansdowne,52,Female,Pink,nike_air_force_1_07_se_lny_white,Maroon,Uzbekistan,true,7,$927.37
Amory,Scutter,54,Male,Green,nike_air_max_plus_g_white,Red,Brazil,true,10,$283.39
Tibold,Tupman,25,Male,Indigo,makalu_mock_out_moccasins_black,Fuscia,Yemen,false,3,$453.42
Ethelind,Jeanesson,50,Female,Violet,Makalu_kinsley_boots_chestnut,Maroon,Zimbabwe,true,4,$307.37
Archibold,Fieldgate,38,Male,Mauv,inc_internalion_concepts_odelya_dress_booties_black,Pink,China,false,7,$799.08
Meriel,Ladewig,33,Female,Pink,nike_air_max_plus_g_white,Maroon,China,false,3,$163.10
Kamila,Hully,52,Female,Purple,cliffs_by_white_mountain_hearten_lace_up_boots_white,Crimson,China,false,8,$756.30
Rozele,Pipes,50,Female,Fuscia,solanz_riddle_sandals_brown,Yellow,France,true,8,$143.64
Garner,Lathwood,37,Male,Maroon,crocs_classic_clogs_white,Red,Mongolia,false,3,$372.04
Maureen,Barribal,33,Bigender,Goldenrod,converse_chuck_taylor_all_star_madison_white,Blue,China,true,7,$345.12
Vincent,Engall,35,Male,Blue,solanz_riddle_sandals_brown,Green,Honduras,true,10,$557.45
Monica,Lindenman,49,Female,Red,ugg_classic_ultra_mini_booties_black,Pink,China,false,9,$606.06
Ainslie,Brettell,49,Female,Aquamarine,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Khaki,Portugal,false,10,$165.40
Nico,Dmiterko,26,Male,Green,Makalu_kinsley_boots_chestnut,Red,Sweden,false,4,$169.57
Rochette,Pittel,33,Female,Goldenrod,inc_internalion_concepts_odelya_dress_booties_black,Red,Argentina,true,4,$656.98
Daveen,Regenhardt,55,Female,Crimson,Makalu_kinsley_boots_chestnut,Fuscia,Spain,false,9,$49.94
Thayne,Salatino,47,Male,Indigo,inc_internalion_concepts_odelya_dress_booties_black,Yellow,China,true,8,$810.49
Hanny,Mulgrew,46,Female,Pink,soda_bells_pumps_black,Pink,Belarus,false,6,$61.72
Peter,Rackley,54,Male,Yellow,converse_chuck_taylor_all_star_madison_white,Turquoise,Philippines,false,7,$264.85
Alexia,Maior,31,Female,Orange,Makalu_kinsley_boots_chestnut,Yellow,Indonesia,false,10,$562.32
Ransom,Nafziger,36,Male,Violet,crocs_classic_clogs_white,Fuscia,Philippines,false,2,$509.14
Nelson,Alwood,26,Male,Yellow,nike_air_force_1_07_se_lny_white,Indigo,Brazil,true,2,$200.76
Jacenta,Doy,39,Non-binary,Purple,converse_chuck_taylor_all_star_madison_white,Aquamarine,Czech Republic,true,8,$333.19
Elvis,Dallimore,25,Male,Orange,converse_chuck_taylor_all_star_madison_white,Goldenrod,Russia,false,4,$403.21
Falito,Wind,48,Male,Puce,cliffs_by_white_mountain_hearten_lace_up_boots_white,Crimson,Indonesia,false,9,$897.20
Bonnibelle,Covell,46,Female,Orange,Makalu_kinsley_boots_chestnut,Red,Indonesia,false,2,$265.69
Starlene,Joinson,51,Female,Yellow,crocs_classic_clogs_white,Green,Sweden,false,1,$49.25
Rosita,Seivwright,37,Female,Goldenrod,cliffs_by_white_mountain_hearten_lace_up_boots_white,Violet,Croatia,false,7,$537.61
Brett,Catlette,48,Male,Maroon,nike_air_max_plus_g_white,Puce,Tanzania,true,10,$342.32
Dick,Greally,45,Male,Yellow,soda_bells_pumps_black,Teal,United States,true,2,$598.87
Lindsey,Fryer,30,Female,Teal,soda_bells_pumps_black,Maroon,China,true,8,$882.93
Carmella,Rotherforth,34,Bigender,Crimson,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Turquoise,Portugal,false,2,$519.24
Melessa,Hinkley,38,Female,Purple,converse_chuck_taylor_all_star_madison_white,Turquoise,China,false,9,$705.80
Elberta,Elizabeth,53,Female,Crimson,nike_air_max_plus_g_white,Green,China,true,4,$112.36
Petunia,Pickthall,39,Female,Violet,nike_air_force_1_07_se_lny_white,Teal,France,false,8,$165.26
Dylan,Lynnitt,54,Polygender,Yellow,converse_chuck_taylor_all_star_madison_white,Goldenrod,Albania,true,6,$729.94
Doria,Hughland,44,Female,Mauv,ugg_classic_ultra_mini_booties_black,Indigo,Sweden,false,3,$255.59
Jaclyn,Pitchford,49,Female,Teal,inc_internalion_concepts_odelya_dress_booties_black,Orange,China,true,9,$981.50
Purcell,McCoole,33,Male,Fuscia,cliffs_by_white_mountain_hearten_lace_up_boots_white,Purple,Nigeria,false,6,$175.38
Rem,Bosomworth,25,Male,Aquamarine,Makalu_kinsley_boots_chestnut,Yellow,Russia,true,3,$138.85
Thaddus,Berriball,35,Male,Aquamarine,cliffs_by_white_mountain_hearten_lace_up_boots_white,Pink,Paraguay,true,9,$897.21
Mimi,Pulford,35,Female,Yellow,crocs_classic_clogs_white,Green,Indonesia,false,8,$652.17
Donna,Paolicchi,29,Female,Turquoise,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Purple,Costa Rica,false,2,$497.45
Brooke,Heynen,29,Female,Teal,converse_chuck_taylor_all_star_madison_white,Pink,Canada,false,9,$724.57
Manuel,Klemz,47,Male,Teal,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Purple,Kazakhstan,false,2,$557.61
Mariette,Teliga,40,Female,Blue,crocs_classic_clogs_white,Aquamarine,Brazil,false,5,$242.49
Clemmie,McAvinchey,48,Female,Teal,nike_air_force_1_07_se_lny_white,Pink,China,true,1,$614.27
Cliff,Mears,50,Male,Blue,inc_internalion_concepts_odelya_dress_booties_black,Indigo,China,true,7,$45.57
Giselbert,Dowda,39,Male,Blue,cliffs_by_white_mountain_hearten_lace_up_boots_white,Aquamarine,Russia,true,10,$830.74
Ferguson,Rennicks,46,Male,Fuscia,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Blue,Vietnam,true,7,$454.08
Sigfrid,Basini-Gazzi,33,Male,Teal,inc_internalion_concepts_odelya_dress_booties_black,Khaki,Vietnam,false,5,$478.94
Natala,Matissoff,53,Female,Blue,Makalu_kinsley_boots_chestnut,Khaki,Colombia,false,3,$720.23
Franz,Sayton,25,Male,Purple,makalu_mock_out_moccasins_black,Khaki,Nigeria,true,4,$301.53
Quinton,Inglesfield,29,Male,Purple,soda_bells_pumps_black,Mauv,Belgium,true,10,$0.58
Arni,Wrankling,48,Male,Yellow,ugg_classic_ultra_mini_booties_black,Mauv,Portugal,true,1,$885.88
Franky,Ebertz,45,Male,Maroon,nike_air_max_plus_g_white,Purple,Albania,false,2,$314.42
Marthena,Clausewitz,53,Female,Maroon,nike_air_max_plus_g_white,Fuscia,Denmark,true,10,$972.72
Major,Averay,37,Male,Crimson,nike_air_max_plus_g_white,Yellow,Argentina,false,2,$145.21
Cynde,Santhouse,30,Female,Pink,converse_chuck_taylor_all_star_madison_white,Crimson,China,true,7,$861.15
Judas,Wife,27,Male,Puce,inc_internalion_concepts_odelya_dress_booties_black,Crimson,Indonesia,false,1,$167.90
Rasia,Antoniou,31,Female,Crimson,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Mauv,Portugal,false,6,$127.23
Richie,Still,37,Male,Green,cliffs_by_white_mountain_hearten_lace_up_boots_white,Aquamarine,Paraguay,true,4,$904.84
Lemuel,Schollick,45,Genderqueer,Pink,Makalu_kinsley_boots_chestnut,Fuscia,Syria,false,1,$710.43
Therine,Joppich,42,Genderqueer,Teal,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Orange,China,true,10,$966.76
Roderick,Miguet,37,Male,Khaki,cliffs_by_white_mountain_hearten_lace_up_boots_white,Aquamarine,Poland,false,7,$215.87
Barri,Saintsbury,41,Male,Fuscia,converse_chuck_taylor_all_star_madison_white,Goldenrod,China,false,3,$34.48
Sharl,Bussy,39,Female,Turquoise,inc_internalion_concepts_odelya_dress_booties_black,Orange,South Africa,false,1,$554.47
Lenna,Kiggel,25,Female,Yellow,solanz_riddle_sandals_brown,Purple,Argentina,false,3,$975.52
Ashlen,Sterricker,41,Female,Teal,nike_air_force_1_07_se_lny_white,Red,Russia,true,1,$60.82
Coraline,Jaquemar,39,Genderqueer,Green,Makalu_kinsley_boots_chestnut,Maroon,Russia,false,6,$634.43
Tory,Hills,40,Female,Violet,solanz_riddle_sandals_brown,Goldenrod,Zambia,false,7,$496.51
Wade,Klimkin,50,Male,Aquamarine,ugg_classic_ultra_mini_booties_black,Purple,Indonesia,false,6,$242.88
Kile,Scurry,31,Male,Goldenrod,Makalu_kinsley_boots_chestnut,Khaki,Mexico,false,5,$618.15
Nathalia,Raisher,45,Female,Violet,inc_internalion_concepts_odelya_dress_booties_black,Turquoise,Serbia,false,5,$704.45
Issi,D'Ambrosio,30,Female,Green,makalu_mock_out_moccasins_black,Goldenrod,Mali,false,10,$580.35
Ryon,Lupson,31,Male,Indigo,makalu_mock_out_moccasins_black,Teal,Ukraine,true,1,$201.42
Rickey,Wellbeloved,52,Male,Green,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Orange,Japan,true,10,$643.45
Barnie,Kainz,26,Male,Khaki,solanz_riddle_sandals_brown,Violet,Ukraine,false,4,$609.10
Bendicty,Rulton,53,Male,Crimson,inc_internalion_concepts_odelya_dress_booties_black,Indigo,Indonesia,true,7,$932.17
Felicio,Daltrey,40,Male,Goldenrod,cliffs_by_white_mountain_hearten_lace_up_boots_white,Maroon,Poland,false,9,$232.76
Fionnula,Vido,52,Female,Aquamarine,makalu_mock_out_moccasins_black,Red,Portugal,true,9,$32.86
Wilma,Silby,26,Female,Goldenrod,cliffs_by_white_mountain_hearten_lace_up_boots_white,Maroon,Croatia,true,5,$756.52
Dion,Santos,44,Male,Orange,inc_internalion_concepts_odelya_dress_booties_black,Green,France,true,10,$342.05
Oby,Coad,47,Male,Blue,ugg_classic_ultra_mini_booties_black,Maroon,Uzbekistan,false,9,$811.27
Aida,Hayne,35,Female,Purple,nike_air_max_plus_g_white,Maroon,Thailand,true,1,$457.39
Sterne,Warren,43,Male,Maroon,nike_air_force_1_07_se_lny_white,Violet,China,true,3,$332.82
Demetri,Rolingson,54,Male,Purple,Makalu_kinsley_boots_chestnut,Indigo,Yemen,false,7,$605.26
Cheslie,Salerno,32,Female,Maroon,converse_chuck_taylor_all_star_madison_white,Puce,South Korea,false,10,$66.32
Cheston,McCurtin,30,Male,Green,ugg_classic_ultra_mini_booties_black,Blue,Indonesia,false,9,$497.55
Ramonda,Eastmead,25,Female,Yellow,Makalu_kinsley_boots_chestnut,Red,China,true,10,$742.15
Frederico,Larchiere,54,Male,Mauv,steve_madden_larina_lace_up_high_heel_ballet_pumps_pink,Purple,Thailand,false,9,$208.01
Lonni,Beards,26,Female,Violet,solanz_riddle_sandals_brown,Maroon,Palestinian Territory,true,10,$504.25
Hailee,Zemler,50,Female,Purple,makalu_mock_out_moccasins_black,Crimson,Philippines,true,8,$592.83
Cordelie,Althorp,55,Female,Crimson,nike_air_max_plus_g_white,Teal,China,true,3,$539.89
Ivett,de Marco,37,Female,Indigo,cliffs_by_white_mountain_hearten_lace_up_boots_white,Violet,China,true,10,$627.48
