first_name,last_name,age,gender,color,location,price
Maye,Sandbach,53,Female,Purple,China,$193.86 
Trudy,Lansdowne,52,Female,Pink,Uzbekistan,$927.37 
Amory,Scutter,54,Male,Green,Brazil,$283.39 
Tibold,Tupman,25,Male,Indigo,Yemen,$453.42 
Ethelind,Jeanesson,50,Female,Violet,Zimbabwe,$307.37 
Archibold,Fieldgate,38,Male,Mauv,China,$799.08 
Meriel,Ladewig,33,Female,Pink,China,$163.10 
Kamila,Hully,52,Female,Purple,China,$756.30 
Rozele,Pipes,50,Female,Fuscia,France,$143.64 
Garner,Lathwood,37,Male,Maroon,Mongolia,$372.04 
Maureen,Barribal,33,Bigender,Goldenrod,China,$345.12 
Vincent,Engall,35,Male,Blue,Honduras,$557.45 
Monica,Lindenman,49,Female,Red,China,$606.06 
Ainslie,Brettell,49,Female,Aquamarine,Portugal,$165.40 
Nico,Dmiterko,26,Male,Green,Sweden,$169.57 
Rochette,Pittel,33,Female,Goldenrod,Argentina,$656.98 
Daveen,Regenhardt,55,Female,Crimson,Spain,$49.94 
Thayne,Salatino,47,Male,Indigo,China,$810.49 
Hanny,Mulgrew,46,Female,Pink,Belarus,$61.72 
Peter,Rackley,54,Male,Yellow,Philippines,$264.85 
Alexia,Maior,31,Female,Orange,Indonesia,$562.32 
Ransom,Nafziger,36,Male,Violet,Philippines,$509.14 
Nelson,Alwood,26,Male,Yellow,Brazil,$200.76 
Jacenta,Doy,39,Non-binary,Purple,Czech Republic,$333.19 
Elvis,Dallimore,25,Male,Orange,Russia,$403.21 
Falito,Wind,48,Male,Puce,Indonesia,$897.20 
Bonnibelle,Covell,46,Female,Orange,Indonesia,$265.69 
Starlene,Joinson,51,Female,Yellow,Sweden,$49.25 
Rosita,Seivwright,37,Female,Goldenrod,Croatia,$537.61 
Brett,Catlette,48,Male,Maroon,Tanzania,$342.32 
Dick,Greally,45,Male,Yellow,United States,$598.87 
Lindsey,Fryer,30,Female,Teal,China,$882.93 
Carmella,Rotherforth,34,Bigender,Crimson,Portugal,$519.24 
Melessa,Hinkley,38,Female,Purple,China,$705.80 
Elberta,Elizabeth,53,Female,Crimson,China,$112.36 
Petunia,Pickthall,39,Female,Violet,France,$165.26 
Dylan,Lynnitt,54,Polygender,Yellow,Albania,$729.94 
Doria,Hughland,44,Female,Mauv,Sweden,$255.59 
Jaclyn,Pitchford,49,Female,Teal,China,$981.50 
Purcell,McCoole,33,Male,Fuscia,Nigeria,$175.38 
Rem,Bosomworth,25,Male,Aquamarine,Russia,$138.85 
Thaddus,Berriball,35,Male,Aquamarine,Paraguay,$897.21 
Mimi,Pulford,35,Female,Yellow,Indonesia,$652.17 
Donna,Paolicchi,29,Female,Turquoise,Costa Rica,$497.45 
Brooke,Heynen,29,Female,Teal,Canada,$724.57 
Manuel,Klemz,47,Male,Teal,Kazakhstan,$557.61 
Mariette,Teliga,40,Female,Blue,Brazil,$242.49 
Clemmie,McAvinchey,48,Female,Teal,China,$614.27 
Cliff,Mears,50,Male,Blue,China,$45.57 
Giselbert,Dowda,39,Male,Blue,Russia,$830.74 
Ferguson,Rennicks,46,Male,Fuscia,Vietnam,$454.08 
Sigfrid,Basini-Gazzi,33,Male,Teal,Vietnam,$478.94 
Natala,Matissoff,53,Female,Blue,Colombia,$720.23 
Franz,Sayton,25,Male,Purple,Nigeria,$301.53 
Quinton,Inglesfield,29,Male,Purple,Belgium,$0.58 
Arni,Wrankling,48,Male,Yellow,Portugal,$885.88 
Franky,Ebertz,45,Male,Maroon,Albania,$314.42 
Marthena,Clausewitz,53,Female,Maroon,Denmark,$972.72 
Major,Averay,37,Male,Crimson,Argentina,$145.21 
Cynde,Santhouse,30,Female,Pink,China,$861.15 
Judas,Wife,27,Male,Puce,Indonesia,$167.90 
Rasia,Antoniou,31,Female,Crimson,Portugal,$127.23 
Richie,Still,37,Male,Green,Paraguay,$904.84 
Lemuel,Schollick,45,Genderqueer,Pink,Syria,$710.43 
Therine,Joppich,42,Genderqueer,Teal,China,$966.76 
Roderick,Miguet,37,Male,Khaki,Poland,$215.87 
Barri,Saintsbury,41,Male,Fuscia,China,$34.48 
Sharl,Bussy,39,Female,Turquoise,South Africa,$554.47 
Lenna,Kiggel,25,Female,Yellow,Argentina,$975.52 
Ashlen,Sterricker,41,Female,Teal,Russia,$60.82 
Coraline,Jaquemar,39,Genderqueer,Green,Russia,$634.43 
Tory,Hills,40,Female,Violet,Zambia,$496.51 
Wade,Klimkin,50,Male,Aquamarine,Indonesia,$242.88 
Kile,Scurry,31,Male,Goldenrod,Mexico,$618.15 
Nathalia,Raisher,45,Female,Violet,Serbia,$704.45 
Issi,D'Ambrosio,30,Female,Green,Mali,$580.35 
Ryon,Lupson,31,Male,Indigo,Ukraine,$201.42 
Rickey,Wellbeloved,52,Male,Green,Japan,$643.45 
Barnie,Kainz,26,Male,Khaki,Ukraine,$609.10 
Bendicty,Rulton,53,Male,Crimson,Indonesia,$932.17 
Felicio,Daltrey,40,Male,Goldenrod,Poland,$232.76 
Fionnula,Vido,52,Female,Aquamarine,Portugal,$32.86 
Wilma,Silby,26,Female,Goldenrod,Croatia,$756.52 
Dion,Santos,44,Male,Orange,France,$342.05 
Oby,Coad,47,Male,Blue,Uzbekistan,$811.27 
Aida,Hayne,35,Female,Purple,Thailand,$457.39 
Sterne,Warren,43,Male,Maroon,China,$332.82 
Demetri,Rolingson,54,Male,Purple,Yemen,$605.26 
Cheslie,Salerno,32,Female,Maroon,South Korea,$66.32 
Cheston,McCurtin,30,Male,Green,Indonesia,$497.55 
Ramonda,Eastmead,25,Female,Yellow,China,$742.15 
Frederico,Larchiere,54,Male,Mauv,Thailand,$208.01 
Lonni,Beards,26,Female,Violet,Palestinian Territory,$504.25 
Hailee,Zemler,50,Female,Purple,Philippines,$592.83 
Cordelie,Althorp,55,Female,Crimson,China,$539.89 
Ivett,de Marco,37,Female,Indigo,China,$627.48 
Hadria,Beachamp,43,Female,Green,France,$473.25 
Jim,Zecchinelli,50,Male,Goldenrod,Philippines,$828.90 
Galven,Summerell,46,Male,Red,United States,$399.16 
Betteanne,Lidyard,33,Female,Red,China,$869.70 
Araldo,Cassley,45,Male,Puce,Portugal,$558.30 
Dennie,Brocklehurst,47,Female,Goldenrod,France,$676.27 
Nellie,Geering,31,Female,Yellow,Iran,$13.27 
Tallulah,Siggens,47,Female,Orange,China,$461.78 
Darb,Pulbrook,33,Genderfluid,Maroon,Thailand,$920.03 
